sample_idx,tree_idx,context
0,0,000000 000001 000010 000100 000101 001000 001001 001010 10000 100000 100001 10001 100010 10010 100100 100101 10100 101000 101001 10101 101010
0,1,000000 000010 000100 001000 001010 1 10000 100000 100010 10010 100100 10100 101000 101010
0,2,000000 000010 000100 001010 1 1000 10000 100000 100010 10010 100100 10100 101010
0,3,000000 000010 000100 1 1000 10000 100000 100010 10010 100100 1010 10100
0,4,000000 000010 1 100 1000 10000 100000 100010 10010 1010
0,5,000000 00010 1 100 1000 10000 100000 10010 1010
0,6,000000 1 10 100 1000 10000 100000
0,7,00 1 10
0,8,0 1
1,0,00000 000001 000010 000100 000101 001000 001001 001010 10000 100001 10001 100010 10010 100100 100101 10100 101000 101001 10101 101010
1,1,00000 000010 000100 001000 001010 1 10000 100010 10010 100100 10100 101000 101010
1,2,0000 000010 000100 001000 001010 1 100010 10010 100100 10100 101000 101010
1,3,0000 000010 000100 001000 1 100010 10010 100100 1010 10100 101000
1,4,000 000010 000100 1 100010 10010 100100 1010 10100
1,5,000 000100 1 10 100100 10100
1,6,000 00100 1 10 10100
1,7,00 1 10
1,8,0 1
2,0,000000 000001 000010 000100 000101 001000 001001 001010 10000 100000 100001 10001 100010 10010 100100 100101 10100 101000 101001 10101 101010
2,1,000000 000010 000100 001000 001010 1 10000 100000 100010 10010 100100 10100 101000 101010
2,2,000000 000010 00100 001000 001010 1 10000 100000 100010 10010 10100 101000 101010
2,3,000000 000010 001000 001010 1 100 10000 100000 100010 10010 101000 101010
2,4,000000 000010 001010 1 100 1000 10000 100000 100010 10010 101010
2,5,00000 000010 001010 1 100 1000 10000 100010 10010 101010
2,6,0000 000010 001010 1 100 1000 100010 10010 101010
2,7,0000 00010 001010 1 100 1000 10010 101010
2,8,0000 0010 001010 1 100 1000 101010
2,9,000 0010 001010 1 100 101010
2,10,00 0010 001010 1 101010
2,11,00 1 10
2,12,0 1
3,0,000000 000001 000010 000100 000101 001000 001001 001010 10000 100000 100001 10001 100010 10010 100100 100101 10100 101000 101001 10101 101010
3,1,000000 000010 000100 001000 001010 1 10000 100000 100010 10010 100100 10100 101000 101010
3,2,000000 000010 000100 001010 1 1000 10000 100000 100010 10010 100100 10100 101010
3,3,000000 000010 001010 1 100 1000 10000 100000 100010 10010 101010
3,4,000 000010 001010 1 100 100010 10010 101010
3,5,000 000010 1 100 100010 10010 1010
3,6,000 1 10 100
3,7,00 1 10
3,8,0 1
4,0,00000 000001 000010 000100 000101 001000 001001 001010 10000 100001 10001 100010 10010 100100 100101 10100 101000 101001 10101 101010
4,1,00000 000010 000100 001000 001010 1 10000 100010 10010 100100 10100 101000 101010
4,2,00000 000010 000100 001010 1 1000 10000 100010 10010 100100 10100 101010
4,3,000 000010 000100 001010 1 100010 10010 100100 10100 101010
4,4,00 000010 001010 1 100010 10010 101010
4,5,00 0010 001010 1 101010
